Category,Component,Quantity,Purchase Link
Hardware,M3x8 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M3x16 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2x10 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2x5 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2.5x6 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,6802zz Bearing,2,aliexpress.com/item/10000009132998.html
Hardware,M2.5x16 mm Bolt,2,aliexpress.com/item/10000183209605.html
Hardware,M2.5 Nut,2,aliexpress.com/item/32977174437.html
Hardware,"30mm Tension spring (OD 7-8mm, wire 1.2-1.5mm)",Yes,aliexpress.com/item/1005003298102282.html
Electronics,Arduino Pro Micro USB C,1,aliexpress.com/item/1348800135.html
Electronics,PCF8575,1,aliexpress.com/item/1005005321051562.html
Electronics,10x10x10mm 5-way button,3,aliexpress.com/item/4000681560472.html
Electronics,DS228/DS428 12mm Push Button,3,aliexpress.com/item/1005005783605126.html
Electronics,MTS-103 (On-Off-On),3,aliexpress.com/item/1005001951366191.html
Electronics,SS49E Hall effect sensor,1,aliexpress.com/item/32947585715.html
Electronics,5x2mm Axial magnet,1,aliexpress.com/item/1005010075039991.html
Electronics,10x5mm Axial magnet,2,aliexpress.com/item/1005010075211239.html
