Category,Component,Quantity,Purchase Link
Hardware,M3x8 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M3x16 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2x10 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2x5 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2.5x6 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,6802zz Bearing,4,aliexpress.com/item/10000009132998.html
Hardware,MF105zz Bearing,8,aliexpress.com/item/1005002679046509.html
Hardware,685zz Bearing,4,aliexpress.com/item/1005007508219620.html
Hardware,M5x25 mm Bolt,2,aliexpress.com/item/10000183209605.html
Hardware,M5x30 mm Bolt,2,aliexpress.com/item/10000183209605.html
Hardware,M5x35 mm Bolt,4,aliexpress.com/item/10000183209605.html
Hardware,M2.5x16 mm Bolt,4,aliexpress.com/item/10000183209605.html
Hardware,M5 Nut +2,8,aliexpress.com/item/32977174437.html
Hardware,M2.5 Nut,4,aliexpress.com/item/32977174437.html
Hardware,"25mm Tension spring (OD 7-8mm, wire 0.8-1mm)",Yes,aliexpress.com/item/1005003298102282.html
Hardware,"20-30mm Compression spring (15mm ID, wire 1-1.2mm)",Yes,aliexpress.com/item/1005007467080577.html
Hardware,25mm Rubber band,Yes,
Hardware,"10mm Compression spring (OD 4mm, wire 0.4mm)",Yes,aliexpress.com/item/1005007467080577.html
Electronics,Arduino Pro Micro USB C,1,aliexpress.com/item/1348800135.html
Electronics,PCF8575,2,aliexpress.com/item/1005005321051562.html
Electronics,ADS1115,2,aliexpress.com/item/1005006390649404.html
Electronics,DRV2605L,1,aliexpress.com/item/1005008520770064.html
Electronics,DC 1220 vibration motor,1,aliexpress.com/item/1005006285435312.html
Electronics,12x6x6mm End stop switch,Yes,aliexpress.com/item/1005004733322981.html
Electronics,10x10x10mm 5-way button,3,aliexpress.com/item/4000681560472.html
Electronics,DS228/DS428 12mm Push Button,2,aliexpress.com/item/1005005783605126.html
Electronics,PBS-110 / 10LO Push Button,1,aliexpress.com/item/1005007797460043.html
Electronics,SS49E Hall effect sensor,2,aliexpress.com/item/32947585715.html
Electronics,6x6x7mm Tactile button,2,aliexpress.com/item/1005004971266223.html
Electronics,5x2mm Axial magnet,4,aliexpress.com/item/1005010075039991.html
Electronics,10x5mm Axial magnet,2,aliexpress.com/item/1005010075211239.html
Electronics,AT24C32 EEPROM,1,aliexpress.com/item/1005005676146387.html
Electronics,MTS-103 (On-Off-On),1,aliexpress.com/item/1005001951366191.html
