Category,Component,Quantity,Purchase Link
Hardware,M3x8 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M3x16 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2.5x6 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2x10 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2x5 mm Self-tapping screw,Yes,aliexpress.com/item/1005003330377202.html
Hardware,M2.5x16 mm Bolt,4,aliexpress.com/item/10000183209605.html
Hardware,M2.5 Nut,4,aliexpress.com/item/32977174437.html
Hardware,R2ZZ Bearing,2,aliexpress.com/item/1005004127154692.html
Hardware,6802zz Bearing,4,aliexpress.com/item/10000009132998.html
Hardware,"10mm Compression spring (OD 4mm, wire 0.4mm)",Yes,aliexpress.com/item/1005007467080577.html
Hardware,O-rings (8mm to 25mm OD),Yes,
Electronics,Arduino Pro Micro USB C,1,aliexpress.com/item/1348800135.html
Electronics,PCF8575,2,aliexpress.com/item/1005005321051562.html
Electronics,ADS1115,1,aliexpress.com/item/1005006390649404.html
Electronics,MTS-103 (On-Off-On),5,aliexpress.com/item/1005001951366191.html
Electronics,10x10x10mm 5-way button,2,aliexpress.com/item/4000681560472.html
Electronics,DS228/DS428 12mm Push Button,6,aliexpress.com/item/1005005783605126.html
Electronics,6x6x7mm Tactile button,2,aliexpress.com/item/1005004971266223.html
Electronics,SS49E Hall effect sensor,2,aliexpress.com/item/32947585715.html
Electronics,5x2mm Axial magnet,4,aliexpress.com/item/1005010075039991.html
Electronics,10x5mm Axial magnet,2,aliexpress.com/item/1005010075211239.html
Electronics,10k Ohm Pot,2,aliexpress.com/item/1005006385022958.html
